Name,Surname,Nome file,Wikidata ID
Simone,Abbio,Simone Abbio (Legavolley 2017),Q55170509
Andri,Aganits,Andri Aganits (Legavolley 2014),Q15628536
Andrea,Agnellini,Andrea Agnellini (Legavolley 2016),Q55170511
Marinfranco,Agrusti,Marinfranco Agrusti (Legavolley 2011),Q55170514
Antwain Delawarence,Aguillard,Antwain Delawarence Aguillard (Legavolley 2014),Q55170531
Graydon,Ainsworth,Graydon Ainsworth (Legavolley 2011),Q55170532
Yasim Youssif,Al Nabhan,Yasim Youssif Al Nabhan (Legavolley 2011),Q55261873
Paolo,Alborghetti,Paolo Alborghetti (Legavolley 2016),Q3893691
Todor,Aleksiev,Todor Aleksiev (Legavolley 2011),Q642527
Denis,Alikaj,Denis Alikaj (Legavolley 2014),Q55261870
Piero,Allesch,Piero Allesch (Legavolley 2014),Q55261872
Carlos,Alomia Angulo,Carlos Alomia Angulo (Legavolley 2011),Q55261874
Thiago,Alves Soares,Thiago Alves Soares (Legavolley 2016),Q55261876
Ryan,Ammerman,Ryan Ammerman (Legavolley 2011),Q55261877
Antonio,Ancora,Antonio Ancora (Legavolley 2014),Q55261878
Matthew,Anderson,Matthew Anderson (Legavolley 2011),Q692345
Svetoslav,Angelov,Svetoslav Angelov (Legavolley 2012),Q55264287
Cristian,Anselmi,Cristian Anselmi (Legavolley 2015),Q55264293
Andrea,Antonaci,Andrea Antonaci (Legavolley 2012),Q32666008
Gianpio,Aprea,Gianpio Aprea (Legavolley 2013),Q55264339
Martins,Arasomwan,Martins Arasomwan (Legavolley 2017),Q55264475
Apostolos,Armenakis,Apostolos Armenakis (Legavolley 2014),Q2859084
Gabriele,Attanasio,Gabriele Attanasio (Legavolley 2016),Q55264710
Francesco,Avelli,Francesco Avelli (Legavolley 2017),Q55264719
Daniel,Bacca,Daniel Bacca (Legavolley 2015),Q55264738
Joel,Bacci,Joel Bacci (Legavolley 2011),Q55264744
Mohamed,Badawy,Mohamed Badawy (Legavolley 2012),Q21284582
Eugen,Bakumovski,Eugen Bakumovski (Legavolley 2011),Q96437
Paolo Emilio,Baldaccini,Paolo Emilio Baldaccini (Legavolley 2011),Q55264800
Felipe Airton,Banderò,Felipe Airton Banderò (Legavolley 2016),Q55264847
Alejandro,Barajas,Alejandro Barajas (Legavolley 2017),Q55264856
Kamil,Baranek,Kamil Baranek (Legavolley 2015),Q3192430
Giorgio,Barbareschi,Giorgio Barbareschi (Legavolley 2012),Q55264874
Giuseppe,Barbone,Giuseppe Barbone (Legavolley 2016),Q55264879
Arpad,Baroti,Arpad Baroti (Legavolley 2014),Q16623974
Carlos Eduardo,Barreto Silva,Carlos Eduardo Barreto Silva (Legavolley 2016),Q29080075
Marco,Barsi,Marco Barsi (Legavolley 2013),Q55264882
Zbigniew,Bartman,Zbigniew Bartman (Legavolley 2013),Q167988
Andrea,Bartoletti,Andrea Bartoletti (Legavolley 2011),Q592811
