Surname,Name,Nationality,Commons File name,Commons Personal category,Wikidata ID
Abdel-Aziz,Nimir,NED,File:Nimir Abdel-Aziz (Legavolley 2017).jpg,Category:Nimir Abdel-Aziz,Q4121429
Atanasijevic,Aleksandar,SRB,File:Aleksandar Atanasijevic (Legavolley 2017).jpg,Category:Aleksandar Atanasijević,Q172184
Averill,Taylor,USA,File:Taylor Averill (Legavolley 2017).jpg,Category:Taylor Averill,Q21651732
Bencz,Milan,SVK,File:Milan Bencz (Legavolley 2017).jpg,Category:Milan Bencz,Q3313979
Boswinkel,Hidde,NED,File:Hidde Boswinkel (Legavolley 2017).jpg,Category:Hidde Boswinkel,Q22277133
Carminati,Ludovico,ITA,File:Ludovico Carminati (Legavolley 2017).jpg,Category:Ludovico Carminati (volleyball player),Q16574090
Casadei,Alberto,ITA,File:Alberto Casadei (Legavolley 2017).jpg,Category:Alberto Casadei (volleyball player),Q16268245
Casulli,Cesare,ITA,File:Cesare Casulli (Legavolley 2017).jpg,Category:Cesare Casulli,Q46163999
Catena,Stefano,ITA,File:Stefano Catena (Legavolley 2017).jpg,Category:Stefano Catena,Q46164096
Cattaneo,Claudio,ITA,File:Claudio Cattaneo (Legavolley 2017).jpg,Category:Claudio Cattaneo,Q46165290
Cavaccini,Domenico,ITA,File:Domenico Cavaccini (Legavolley 2017).jpg,Category:Domenico Cavaccini,Q46907805
Cavuto,Oreste,ITA,File:Oreste Cavuto (Legavolley 2017).jpg,Category:Oreste Cavuto,Q46909479
Cazzaniga,Roberto,ITA,File:Roberto Cazzaniga (Legavolley 2017).jpg,Category:Roberto Cazzaniga,Q17279963
Cebulj,Klemen,SLO,File:Klemen Cebulj (Legavolley 2017).jpg,Category:Klemen Cebulj,Q3815836
Cecato,Nicola,ITA,File:Nicola Cecato (Legavolley 2017).jpg,Category:Nicola Cecato,Q46909906
Cernic,Matej,ITA,File:Matej Cernic (Legavolley 2017).jpg,Category:Matej Černič,Q2738908
Cesarini,Andrea,ITA,File:Andrea Cesarini (Legavolley 2017).jpg,Category:Andrea Cesarini,Q3615597
Cester,Davide,ITA,File:Davide Cester (Legavolley 2017).jpg,Category:Davide Cester,Q46951220
Cester,Enrico,ITA,File:Enrico Cester (Legavolley 2017).jpg,Category:Enrico Cester,Q3725684
Cetrullo,Leano,ITA,File:Leano Cetrullo (Legavolley 2017).jpg,Category:Leano Cetrullo,Q46993121
Chadtchyn,Alexander,ITA,File:Alexander Chadtchyn (Legavolley 2017).jpg,Category:Alexander Chadtchyn,Q46993145
Chiappa,Matteo,ITA,File:Matteo Chiappa (Legavolley 2017).jpg,Category:Matteo Chiappa,Q28654879
Christenson,Micah,USA,File:Micah Christenson (Legavolley 2017).jpg,Category:Micah Christenson,Q16578192
Cioffi,Massimiliano,ITA,File:Massimiliano Cioffi (Legavolley 2017).jpg,Category:Massimiliano Cioffi,Q46993270
Cirovic,Lazar,SRB,File:Lazar Cirovic (Legavolley 2017).jpg,Category:Lazar Cirovic,Q29646321
Cisolla,Alberto,ITA,File:Alberto Cisolla (Legavolley 2017).jpg,Category:Alberto Cisolla,Q728338
Ciulli,Filippo,ITA,File:Filippo Ciulli (Legavolley 2017).jpg,Category:Filippo Ciulli,Q46993274
Codarin,Lorenzo,ITA,File:Lorenzo Codarin (Legavolley 2017).jpg,Category:Lorenzo Codarin,Q46993281
Colaci,Massimo,ITA,File:Massimo Colaci (Legavolley 2017).jpg,Category:Massimo Colaci,Q3851197
Colli,Leonardo,ITA,File:Leonardo Colli (Legavolley 2017).jpg,Category:Leonardo Colli,Q46993289
Cominetti,Roberto,ITA,File:Roberto Cominetti (Legavolley 2017).jpg,Category:Roberto Cominetti,Q46993291
Copelli,Riccardo,ITA,File:Riccardo Copelli (Legavolley 2017).jpg,Category:Riccardo Copelli,Q46993292
Cordano,Andrea,ITA,File:Andrea Cordano (Legavolley 2017).jpg,Category:Andrea Cordano,Q46993295
Corrado,Francesco,ITA,File:Francesco Corrado (Legavolley 2017).jpg,Category:Francesco Corrado,Q46993298
Cortellazzi,Emiliano,ITA,File:Emiliano Cortellazzi (Legavolley 2017).jpg,Category:Emiliano Cortellazzi,Q21030406
Cortesia,Lorenzo,ITA,File:Lorenzo Cortesia (Legavolley 2017).jpg,Category:Lorenzo Cortesia,Q46993301
Corvetta,Antonio,ITA,File:Antonio Corvetta (Legavolley 2017).jpg,Category:Antonio Corvetta,Q16268303
Coscione,Manuel,ITA,File:Manuel Coscione (Legavolley 2017).jpg,Category:Manuel Coscione,Q3844994
Costanzi,Riccardo,ITA,File:Riccardo Costanzi (Legavolley 2017).jpg,Category:Riccardo Costanzi,Q46993303
Cottarelli,Francesco,ITA,File:Francesco Cottarelli (Legavolley 2017).jpg,Category:Francesco Cottarelli,Q28540489
Crescini,Keriann,ITA,File:Keriann Crescini (Legavolley 2017).jpg,Category:Keriann Crescini,Q46993308
Cristofaletti,Mirco,ITA,File:Mirco Cristofaletti (Legavolley 2017).jpg,Category:Mirco Cristofaletti,Q46993310
Cro',Daniele,ITA,File:Daniele Cro' (Legavolley 2017).jpg,Category:Daniele Cro',Q46993327
Cruz,Nandy,ITA,File:Nandy Cruz (Legavolley 2017).jpg,Category:Nandy Cruz,Q46993338
Cubito,Marco,ITA,File:Marco Cubito (Legavolley 2017).jpg,Category:Marco Cubito,Q46993339
Culafic,Milos,MNE,File:Milos Culafic (Legavolley 2017).jpg,Category:Milos Culafic,Q3314490
Dal Corso,Gianluca,ITA,File:Gianluca Dal Corso (Legavolley 2017).jpg,Category:Gianluca Dal Corso,Q46993807
Daldello,Nicola,ITA,File:Nicola Daldello (Legavolley 2017).jpg,Category:Nicola Daldello,Q17280007
D'Amico,Francesco,ITA,File:Francesco D'Amico (Legavolley 2017).jpg,Category:Francesco D'Amico,Q46993801
Danielli,Simone,ITA,File:Simone Danielli (Legavolley 2017).jpg,Category:Simone Danielli,Q46993824
De Angelis,Carlo,ITA,File:Carlo De Angelis (Legavolley 2017).jpg,Category:Carlo De Angelis,Q46993842
De Fabritiis,Giacomo,ITA,File:Giacomo De Fabritiis (Legavolley 2017).jpg,Category:Giacomo De Fabritiis,Q46993851
Della Lunga,Dore,ITA,File:Dore Della Lunga (Legavolley 2017).jpg,Category:Dore Della Lunga,Q3714219
Della Rosa,Mattia,ITA,File:Mattia Della Rosa (Legavolley 2017).jpg,Category:Mattia Della Rosa,Q46993887
Del Vecchio,Francesco,ITA,File:Francesco Del Vecchio (Legavolley 2017).jpg,Category:Francesco Del Vecchio,Q16557186
De Marchi,Francesco,ITA,File:Francesco De Marchi (Legavolley 2017).jpg,Category:Francesco De Marchi,Q16557177
De Pandis,Daniele,ITA,File:Daniele De Pandis (Legavolley 2017).jpg,Category:Daniele De Pandis,Q3701937
De Paola,Antonio,ITA,File:Antonio De Paola (Legavolley 2017).jpg,Category:Antonio De Paola,Q3619510
De Santis,Danilo,ITA,File:Danilo De Santis (Legavolley 2017).jpg,Category:Danilo De Santis,Q46993876
De Santis,Saverio,ITA,File:Saverio De Santis (Legavolley 2017).jpg,Category:Saverio De Santis,Q46993872
De Togni,Giorgio,ITA,File:Giorgio De Togni (Legavolley 2017).jpg,Category:Giorgio De Togni,Q3765415
Diamantini,Enrico,ITA,File:Enrico Diamantini (Legavolley 2017).jpg,Category:Enrico Diamantini,Q16552094
Di Carlo,Andrea,ITA,File:Andrea Di Carlo (Legavolley 2017).jpg,Category:Andrea Di Carlo,Q46993901
Di Meo,Pietro,ITA,File:Pietro Di Meo (Legavolley 2017).jpg,Category:Pietro Di Meo,Q46993906
Di Renzo,Leonardo,ITA,File:Leonardo Di Renzo (Legavolley 2017).jpg,Category:Leonardo Di Renzo,Q46993915
Di Silvestre,Paolo Luigi,ITA,File:Paolo Luigi Di Silvestre (Legavolley 2017).jpg,Category:Paolo Luigi Di Silvestre,Q46993921
Di Tommaso,Simone,ITA,File:Simone Di Tommaso (Legavolley 2017).jpg,Category:Simone Di Tommaso,Q46993930
Dolfo,Ludovico,ITA,File:Ludovico Dolfo (Legavolley 2017).jpg,Category:Ludovico Dolfo,Q3839102
Domagala,Damian,POL,File:Damian Domagala (Legavolley 2017).jpg,Category:Damian Domagala,Q19902212
Elia,Alberto,ITA,File:Alberto Elia (Legavolley 2017).jpg,Category:Alberto Elia,Q3608272
Erati,Alex,ITA,File:Alex Erati (Legavolley 2017).jpg,Category:Alex Erati,Q46994620
Esposito,Davide,ITA,File:Davide Esposito (Legavolley 2017).jpg,Category:Davide Esposito,Q46994633
Fabi,Tommaso,ITA,File:Tommaso Fabi (Legavolley 2017).jpg,Category:Tommaso Fabi,Q46994645
Fabroni,Marco,ITA,File:Marco Fabroni (Legavolley 2017).jpg,Category:Marco Fabroni,Q16268358
Fantini,Jacopo,ITA,File:Jacopo Fantini (Legavolley 2017).jpg,Category:Jacopo Fantini,Q46994654
Fanuli,Fabio,ITA,File:Fabio Fanuli (Legavolley 2017).jpg,Category:Fabio Fanuli,Q3737694
Federici,Filippo,ITA,File:Filippo Federici (Legavolley 2017).jpg,Category:Filippo Federici,Q46994657
Fedrizzi,Michele,ITA,File:Michele Fedrizzi (Legavolley 2017).jpg,Category:Michele Fedrizzi,Q3856602
Fei,Alessandro,ITA,File:Alessandro Fei (Legavolley 2017).jpg,Category:Alessandro Fei (volleyball player),Q2632542
Ferrari,Jacopo,ITA,File:Jacopo Ferrari (Legavolley 2017).jpg,Category:Jacopo Ferrari (volleyball player),Q46994658
Ferraro,Mario,ITA,File:Mario Ferraro (Legavolley 2017).jpg,Category:Mario Ferraro,Q46994682
Ferri,Stefano,ITA,File:Stefano Ferri (Legavolley 2017).jpg,Category:Stefano Ferri,Q46994686
Festi,Roberto,ITA,File:Roberto Festi (Legavolley 2017).jpg,Category:Roberto Festi,Q46994689
Fey,Kupono,USA,File:Kupono Fey (Legavolley 2017).jpg,Category:Kupono Fey,Q42671053
Fiore,Alessio,ITA,File:Alessio Fiore (Legavolley 2017).jpg,Category:Alessio Fiore,Q3610502
Fiori,Federico,ITA,File:Federico Fiori (Legavolley 2017).jpg,Category:Federico Fiori,Q46994697
Fortunato,Nicola,ITA,File:Nicola Fortunato (Legavolley 2017).jpg,Category:Nicola Fortunato,Q46994698
Franceschini,Alessandro,ITA,File:Alessandro Franceschini (Legavolley 2017).jpg,Category:Alessandro Franceschini,Q16525107
Franciskovic,Jennings,USA,File:Jennings Franciskovic (Legavolley 2017).jpg,Category:Jennings Franciskovic,Q42671387
Franzoni,Andrea,ITA,File:Andrea Franzoni (Legavolley 2017).jpg,Category:Andrea Franzoni (volleyball player),Q46994712
Frattini,Alessandro,ITA,File:Alessandro Frattini (Legavolley 2017).jpg,Category:Alessandro Frattini,Q46994714
Frigo,Thomas,ITA,File:Thomas Frigo (Legavolley 2017).jpg,Category:Thomas Frigo,Q23834733
Fusco,Pasquale,ITA,File:Pasquale Fusco (Legavolley 2017).jpg,Category:Pasquale Fusco,Q46994730
Galabinov,Yordan,ITA,File:Yordan Galabinov (Legavolley 2017).jpg,Category:Yordan Galabinov,Q46994731
Galassi,Gianluca,ITA,File:Gianluca Galassi (Legavolley 2017).jpg,Category:Gianluca Galassi,Q46994733
Galliani,Andrea,ITA,File:Andrea Galliani (Legavolley 2017).jpg,Category:Andrea Galliani,Q9150947
Gardini,Davide,ITA,File:Davide Gardini (Legavolley 2017).jpg,Category:Davide Gardini,Q29646135
Gargiulo,Giovanni Maria,ITA,File:Giovanni Maria Gargiulo (Legavolley 2017).jpg,Category:Giovanni Maria Gargiulo,Q46994736
Garnica,Fernando Gabriel,ITA,File:Fernando Gabriel Garnica (Legavolley 2017).jpg,Category:Fernando Gabriel Garnica,Q46994739
Garofolo,Fabrizio,ITA,File:Fabrizio Garofolo (Legavolley 2017).jpg,Category:Fabrizio Garofolo,Q46994748
Gaspari,Massimo,ITA,File:Massimo Gaspari (Legavolley 2017).jpg,Category:Massimo Gaspari,Q46994749
Giacobelli,Mario,ITA,File:Mario Giacobelli (Legavolley 2017).jpg,Category:Mario Giacobelli,Q46994751
Giannotti,Stefano,ITA,File:Stefano Giannotti (Legavolley 2017).jpg,Category:Stefano Giannotti,Q17453250
Giosa,Alessandro,ITA,File:Alessandro Giosa (Legavolley 2017).jpg,Category:Alessandro Giosa,Q46994759
Giovi,Andrea,ITA,File:Andrea Giovi (Legavolley 2017).jpg,Category:Andrea Giovi,Q493971
Gitto,Carmelo,ITA,File:Carmelo Gitto (Legavolley 2017).jpg,Category:Carmelo Gitto,Q3660240
Giuliani,Ludovico,ITA,File:Ludovico Giuliani (Legavolley 2017).jpg,Category:Ludovico Giuliani,Q46994765
Goi,Riccardo,ITA,File:Riccardo Goi (Legavolley 2017).jpg,Category:Riccardo Goi,Q16867145
Gozzo,Stefano,ITA,File:Stefano Gozzo (Legavolley 2017).jpg,Category:Stefano Gozzo,Q21030425
Gradi,Cesare,ITA,File:Cesare Gradi (Legavolley 2017).jpg,Category:Cesare Gradi,Q3665442
Grassano,Michele,ITA,File:Michele Grassano (Legavolley 2017).jpg,Category:Michele Grassano,Q18223570
Grassi,Tommaso,ITA,File:Tommaso Grassi (Legavolley 2017).jpg,Category:Tommaso Grassi,Q46994771
Graziani,Alessandro,ITA,File:Alessandro Graziani (Legavolley 2017).jpg,Category:Alessandro Graziani,Q46994774
