ID,Cognome,Nome,nazionalita,File name
ABD-NIM-92,Abdel-Aziz,Nimir,NED,Nimir Abdel-Aziz (Legavolley 2017)
ACQ-ALE-99,Acquarone,Alessandro,ITA,Alessandro Acquarone (Legavolley 2017)
AGO-FIL-94,Agostini,Filippo,ITA,Filippo Agostini (Legavolley 2017)
ALB-ALE-98,Alberini,Alessio,ITA,Alessio Alberini (Legavolley 2017)
ALB-DAN-93,Albergati,Daniele,ITA,Daniele Albergati (Legavolley 2017)
ALE-CAI-96,Alexandre De Oliveira,Caio,BRA,Caio Alexandre De Oliveira (Legavolley 2017)
ALL-AIM-88,Alletti,Aimone,ITA,Aimone Alletti (Legavolley 2017)
AMO-FLA-97,Amouah,Flavio,ITA,Flavio Amouah (Legavolley 2017)
AND-AND-97,Andreini,Andrea,ITA,Andrea Andreini (Legavolley 2017)
AND-LEO-94,Andric,Leo,CRO,Leo Andric (Legavolley 2017)
ANS-ANT-90,Anselmo,Antonio,ITA,Antonio Anselmo (Legavolley 2017)
ANT-OLE-88,Antonov,Oleg,ITA,Oleg Antonov (Legavolley 2017)
ANZ-SIM-92,Anzani,Simone,ITA,Simone Anzani (Legavolley 2017)
ARE-FRA-93,Arezzo Di Trifiletti,Franco,ITA,Franco Arezzo Di Trifiletti (Legavolley 2017)
ARE-ROB-82,Arena,Roberto,ITA,Roberto Arena (Legavolley 2017)
ARG-AND-96,Argenta,Andrea,ITA,Andrea Argenta (Legavolley 2017)
ARI-ALE-93,Arienti,Alessandro,ITA,Alessandro Arienti (Legavolley 2017)
AST-FRA-93,Astarita,Francesco,ITA,Francesco Astarita (Legavolley 2017)
ATA-ALE-91,Atanasijevic,Aleksandar,SRB,Aleksandar Atanasijevic (Legavolley 2017)
AVE-TAY-92,Averill,Taylor,USA,Taylor Averill (Legavolley 2017)
BAC-LEO-00,Baciocco,Leonardo,ITA,Leonardo Baciocco (Legavolley 2017)
BAL-ALB-98,Baldazzi,Alberto,ITA,Alberto Baldazzi (Legavolley 2017)
BAL-FAB-95,Balaso,Fabio,ITA,Fabio Balaso (Legavolley 2017)
BAL-SIM-98,Baldari,Simone,ITA,Simone Baldari (Legavolley 2017)
BAR-AND-80,Bari,Andrea,ITA,Andrea Bari (Legavolley 2017)
BAR-FED-93,Bargi,Federico,ITA,Federico Bargi (Legavolley 2017)
BAR-MIC-89,Baranowicz,Michele,ITA,Michele Baranowicz (Legavolley 2017)
BAR-MIR-97,Baratti,Mirko,ITA,Mirko Baratti (Legavolley 2017)
BAR-ROC-87,Barone,Rocco,ITA,Rocco Barone (Legavolley 2017)
BAS-NIC-96,Bassanello,NicolĂ²,ITA,NicolĂ² Bassanello (Legavolley 2017)
BAT-LEO-95,Battista,Leonardo,ITA,Leonardo Battista (Legavolley 2017)
BEL-ALB-87,Bellini,Alberto,ITA,Alberto Bellini (Legavolley 2017)
BEL-GIA-88,Bellei,Giacomo,ITA,Giacomo Bellei (Legavolley 2017)
BEL-MAT-97,Beltrami,Matteo,ITA,Matteo Beltrami (Legavolley 2017)
BEN-DAV-89,Benaglia,Davide,ITA,Davide Benaglia (Legavolley 2017)
BEN-MIL-87,Bencz,Milan,SVK,Milan Bencz (Legavolley 2017)
BER-ALE-88,Berger,Alexander,AUT,Alexander Berger (Legavolley 2017)
BER-DIE-86,Bernieri Di Lucca,Diego,ITA,Diego Bernieri Di Lucca (Legavolley 2017)
BER-GIU-95,Bernardi,Giuseppe,ITA,Giuseppe Bernardi (Legavolley 2017)
BER-MAT-88,Bertoli,Matteo,ITA,Matteo Bertoli (Legavolley 2017)
BER-MIC-99,Bergoli,Michele,ITA,Michele Bergoli (Legavolley 2017)
BER-THO-90,Beretta,Thomas,ITA,Thomas Beretta (Legavolley 2017)
BIA-FED-01,Bianchini,Federico,ITA,Federico Bianchini (Legavolley 2017)
BIA-MAN-01,Biasotto,Manuel,ITA,Manuel Biasotto (Legavolley 2017)
BIG-LUC-91,Bigarelli,Luca,ITA,Luca Bigarelli (Legavolley 2017)
BIG-OMA-95,Biglino,Omar,ITA,Omar Biglino (Legavolley 2017)
BIR-EMA-81,Birarelli,Emanuele,ITA,Emanuele Birarelli (Legavolley 2017)
BIS-FAB-94,Bisi,Fabio,ITA,Fabio Bisi (Legavolley 2017)
BIS-GIA-83,Bisci,Gianluca,ITA,Gianluca Bisci (Legavolley 2017)
BLE-NIC-92,Bleggi,NicolĂ²,ITA,NicolĂ² Bleggi (Legavolley 2017)
BOE-FIL-93,Boesso,Filippo,ITA,Filippo Boesso (Legavolley 2017)
BOF-MAT-96,Boffi,Matteo,ITA,Matteo Boffi (Legavolley 2017)
BOL-MAT-90,Bolla,Matteo,ITA,Matteo Bolla (Legavolley 2017)
BON-DUS-95,Bonacic,Dusan,CHI,Dusan Bonacic (Legavolley 2017)
BON-FED-93,Bonami,Federico,ITA,Federico Bonami (Legavolley 2017)
BON-LUC-98,Bonisoli,Luca Maria,ITA,Luca Maria Bonisoli (Legavolley 2017)
BON-SIM-92,Bonante,Simone,ITA,Simone Bonante (Legavolley 2017)
BOR-LUC-93,Borgogno,Luca,ITA,Luca Borgogno (Legavolley 2017)
BOR-MAT-89,Bortolozzo,Matteo,ITA,Matteo Bortolozzo (Legavolley 2017)
BOR-RIC-94,Bortolini,Riccardo,ITA,Riccardo Bortolini (Legavolley 2017)
BOS-ELI-94,Bossi,Elia,ITA,Elia Bossi (Legavolley 2017)
BOS-EMA-97,Bosio,Emanuele,ITA,Emanuele Bosio (Legavolley 2017)
BOS-GIU-86,Boscaini,Giuseppe,ITA,Giuseppe Boscaini (Legavolley 2017)
BOS-HID-95,Boswinkel,Hidde,NED,Hidde Boswinkel (Legavolley 2017)
BOT-IAC-87,Botto,Iacopo,ITA,Iacopo Botto (Legavolley 2017)
BRA-JAC-89,Brandi,Jacopo,ITA,Jacopo Brandi (Legavolley 2017)
BRA-NIC-94,Brandi,NicolĂ²,ITA,NicolĂ² Brandi (Legavolley 2017)
BRA-ROB-84,Braga,Roberto,ITA,Roberto Braga (Legavolley 2017)
BRE-TIZ-94,Bressan,Tiziano,ITA,Tiziano Bressan (Legavolley 2017)
BRI-AND-97,Briata,Andrea,ITA,Andrea Briata (Legavolley 2017)
BRI-MAT-98,Briglia,Mattia,ITA,Mattia Briglia (Legavolley 2017)
BRU-DAV-95,Brunetti,Davide,ITA,Davide Brunetti (Legavolley 2017)
BRU-VIT-95,Bruno,Vito,ITA,Vito Bruno (Legavolley 2017)
BUC-LUC-95,Bucciarelli,Luca,ITA,Luca Bucciarelli (Legavolley 2017)
BUC-PAU-96,Buchegger,Paul,AUT,Paul Buchegger (Legavolley 2017)
BUT-LUC-91,Butti,Luca,ITA,Luca Butti (Legavolley 2017)
BUT-SIM-83,Buti,Simone,ITA,Simone Buti (Legavolley 2017)
BUZ-PIE-90,Buzzelli,Pierlorenzo,ITA,Pierlorenzo Buzzelli (Legavolley 2017)
CAC-LOU-98,Caccioppola,Louis,ITA,Louis Caccioppola (Legavolley 2017)
CAL-BER-93,Calistri,Bernardo,ITA,Bernardo Calistri (Legavolley 2017)
CAL-LOR-81,Calonico,Lorenzo,ITA,Lorenzo Calonico (Legavolley 2017)
CAL-SIM-95,Calarco,Simone,ITA,Simone Calarco (Legavolley 2017)
CAN-BRU-90,Canuto,Bruno,BRA,Bruno Canuto (Legavolley 2017)
CAN-DAV-89,Candellaro,Davide,ITA,Davide Candellaro (Legavolley 2017)
CAN-DIE-99,Cantagalli,Diego,ITA,Diego Cantagalli (Legavolley 2017)
CAN-EDO-97,Caneschi,Edoardo,ITA,Edoardo Caneschi (Legavolley 2017)
CAN-GIO-94,Candeago,Giovanni,ITA,Giovanni Candeago (Legavolley 2017)
CAR-ANT-94,Cargioli,Antonio,ITA,Antonio Cargioli (Legavolley 2017)
CAR-EDE-83,Carbonera,Eder,BRA,Eder Carbonera (Legavolley 2017)
CAR-LUD-92,Carminati,Ludovico,ITA,Ludovico Carminati (Legavolley 2017)
CAS-ALB-84,Casadei,Alberto,ITA,Alberto Casadei (Legavolley 2017)
CAS-CES-83,Casulli,Cesare,ITA,Cesare Casulli (Legavolley 2017)
CAT-CLA-97,Cattaneo,Claudio,ITA,Claudio Cattaneo (Legavolley 2017)
CAT-STE-92,Catena,Stefano,ITA,Stefano Catena (Legavolley 2017)
CAV-DOM-87,Cavaccini,Domenico,ITA,Domenico Cavaccini (Legavolley 2017)
CAV-ORE-96,Cavuto,Oreste,ITA,Oreste Cavuto (Legavolley 2017)
CAZ-ROB-79,Cazzaniga,Roberto,ITA,Roberto Cazzaniga (Legavolley 2017)
CEB-KLE-92,Cebulj,Klemen,SLO,Klemen Cebulj (Legavolley 2017)
CEC-NIC-88,Cecato,Nicola,ITA,Nicola Cecato (Legavolley 2017)
CER-MAT-78,Cernic,Matej,ITA,Matej Cernic (Legavolley 2017)
CES-AND-87,Cesarini,Andrea,ITA,Andrea Cesarini (Legavolley 2017)
CES-DAV-97,Cester,Davide,ITA,Davide Cester (Legavolley 2017)
CES-ENR-88,Cester,Enrico,ITA,Enrico Cester (Legavolley 2017)
CET-LEA-86,Cetrullo,Leano,ITA,Leano Cetrullo (Legavolley 2017)
CHA-ALE-98,Chadtchyn,Alexander,ITA,Alexander Chadtchyn (Legavolley 2017)
CHI-MAT-93,Chiappa,Matteo,ITA,Matteo Chiappa (Legavolley 2017)
CHR-MIC-93,Christenson,Micah,USA,Micah Christenson (Legavolley 2017)
CIO-MAS-92,Cioffi,Massimiliano,ITA,Massimiliano Cioffi (Legavolley 2017)
CIR-LAZ-92,Cirovic,Lazar,SRB,Lazar Cirovic (Legavolley 2017)
