0COLY,ferdinand-coly
0GNGN,gianni-guigou
0HLGJ,luis-helguera
0JJDS,jeda
0JOBX,thomas-job
0MLNR,enrico-milan
0MSGP,giuseppe-mascara
0MSRC,marco-esposito
0OGAS,mitsuo-ogasawara
0PGLM,maurizio-pugliesi
1ASTO,davide-astori
1BTGN,ignazio-abate
1CRCL,alessio-cerci
1DMRT,raffaele-de-martino
1HDMM,magnus-hedman
1LAMB,alessandro-lambrughi
3GCMZ,guillermo-giacomazzi
5BURD,nicolas-burdisso
5LSJH,john-aloisi
7MSBH,djamel-mesbah
9BSGG,walter-baseggio
9ELEF,dimitris-eleftheropoulos
9ILIE,ivica-iliev
9JEND,daniel-jensen
9KOLO,vaclav-kolousek
9LVRR,ruben-olivera
9MGGC,christian-maggio
ADMCH,cristian-adami
ALBIO,raul-albiol
ALDE,gabriele-aldegani
ALELAL,alexi-lalas
ALLRC,riccardo-allegretti
AMERA,raffaele-ametrano
AMOLU,luca-amoruso
AMONI,nicola-amoruso
ANDOM,bruce-dombolo
ANTEN,mirco-antenucci
ANTLC,luca-antei
BAJICR,riad-bajic
BALDI,daniele-balli
BALMAR,marco-ballotta
BARRE,paulo-barreto
BASTOS,bastos
BBCKH,khouma-babacar
BBJGR,igor-bubnjic
BBNJN,jonathan-biabiany
BBTMT,matteo-abbate
BBTND,olalekan-babatunde
BCCBP,ivan-strinic
BCCCR,cristian-bucchi
BCCDR,dario-baccin
BCCDV,davide-baiocco
BCCGCM,giacomo-boccafoglia
BCCLN,alessandro-boccolini
BCCMR,maurizio-baciocchi
BCCNP,matteo-baiocchi
BCHPW,pawel-bochniewicz
BCHRC,marcel-buchel
BCXTD,elia-bruzzi
BDLLS,alessandro-budel
BDLML,milan-badelj
BDNVK,viktor-boudianski
BDSFF,soufiane-bidaoui
BDXZL,daniel-pavlovic
BEGLUI,luigi-beghetto
BEGMAS,massimo-beghetto
BELMO,nicola-belmonte
BENIN,mirko-benin
BENMAR,mario-been
BENPAL,paolo-benedetti
BERALE,alessandro-bertoni
BERAN,antonino-bernardini
BERDA,daniele-berretta
BERTA,mauro-bertaccini
BGAFR,francesco-bega
BGDLN,erjon-bogdani
BGLLC,lucas-biglia
BGNOB,oberdan-biagioni
BGNTM,marco-biagianti
BHRMV,valon-behrami
BHWNN,mattia-del-favero
BIADA,david-bianchini
BIAIO,giorgio-bianchi
BINJO,jonatan-binotto
BISLU,luca-bisello-ragno
BJELA,sasa-bjelanovic
BKRHMD,mohamed-abukar
BKYBR,ibrahima-bakayoko
BLCDR,drazen-bolic
BLCFB,fabio-bilica
BLCVD,vid-belec
BLDNRD,leonardo-ubaldi
BLDRHM,ibourahima-balde-balde
BLDRM,michele-boldrini
BLFHK,ishak-belfodil
BLLCLD,jean-claude-billong
BLLGS,giuseppe-bellusci
BLLVRL,raoul-bellanova
BLLZX,rafael-toloi
BLMML,emilio-belmonte
BLNLC,luca-belingheri
BLNLN,leonardo-blanchard
BLSJC,jacopo-balestri
BLSMN,manuele-blasi
BLTNR,andrea-belotti
BNCJNR,flavio-junior-bianchi
BNCLN,leonardo-bonucci
BNFKV,kevin-bonifazi
