item,itemLabel
Q25991730,David Zimmerhofer
Q5340762,Eduardo Sasha
Q10313100,Juri Cannarsi
Q26271410,Nicolò Pozzebon
Q29062582,Sergio Gucciardo
Q3603313,Abbondanzio Pagani
Q2821362,Abdoulaye Bamba
Q4666562,Abel Gigli
Q17453215,Accursio Bentivegna
Q3604331,Achille Baldini
Q16268201,Achille Bordoli
Q1485528,Achille Brioschi
Q3604342,Achille Buzzoni
Q16524574,Achille Casanchini
Q3604358,Achille Coser
Q3604357,Achille Dari
Q3604362,Achille Dellarole
Q3604369,Achille Fraschini
Q14524562,Achille Gorla
Q14524563,Achille Malaspina
Q3604395,Achille Mazzoleni
Q2547688,Achille Piccini
Q7001839,Achille Rosina
Q3604414,Achille Sacchi
Q20718823,Adam Masina
Q3605027,Adamello Freschi
Q3605044,Adamo Puccini
Q3605045,Adamo Roggia
Q1465801,Adelchi Brach
Q18223876,Adelchi Malaman
Q3605196,Adelino Zennaro
Q1871009,Adelio Colombo
Q3605199,Adelio Crespi
Q16524628,Adelio Fiore
Q3605203,Adelio Moro
Q17490335,Adelio Verga
Q1318770,Adelmo Battistella
Q3605212,Adelmo Eufemi
Q3605219,Adelmo Paris
Q3605214,Adelmo Ponzoni
Q3605222,Adelmo Prenna
Q3605221,Adelmo Toffanetti
Q1467065,Ademaro Breviglieri
Q3605286,Adevildo De Marchi
Q3605346,Adile Montanari
Q3605345,Adilio Pugliese
Q16268199,Adler Bonci
Q868802,Adolfo Agosti
Q365000,Adolfo Baloncieri
Q1403687,Adolfo Bellucci
Q15617300,Adolfo Bolognini
Q17620073,Adolfo Chiti
Q3605426,Adolfo Daniele Speranza
Q3605428,Adolfo Dusi
Q3605438,Adolfo Giuntoli
Q2824725,Adolfo Gori
Q14526995,Adolfo Rosso
Q3605476,Adolfo Sormani
Q2824948,Adone Stellin
Q18350300,Ador Gjuci
Q3605687,Adriano Alex Taribello
Q1044850,Adriano Banelli
Q1317386,Adriano Bardin
Q1318350,Adriano Bassetto
Q1445250,Adriano Birtig
Q1136815,Adriano Bonaiuti
Q1539342,Adriano Capra
Q1876885,Adriano Corrente
Q3605720,Adriano Fedele
Q1154792,Adriano Foglia
Q264086,Adriano Galliani
Q3605732,Adriano Gè
Q971982,Adriano Lombardi
Q3605741,Adriano Malisan
Q3605742,Adriano Manzino
Q3605747,Adriano Martelli
Q3605746,Adriano Maschietto
Q3605750,Adriano Minelli
Q16232290,Adriano Montalto
Q2825079,Adriano Novellini
Q3605764,Adriano Piraccini
Q3605762,Adriano Polenta
Q3605771,Adriano Reginato
Q15041005,Adriano Rossi
Q13527944,Adriano Russo
Q3605778,Adriano Tedoldi
Q3605787,Adriano Varglien
Q3605790,Adriano Zancopè
Q3605789,Adriano Zanier
Q3605793,Adriano Zecca
Q3606269,Afro De Pietri
Q3606378,Agatino Cuttone
Q3606413,Agenore Maurizi
Q3606563,Agide Lenzi
Q3606584,Aglae Doria
Q3606722,Agostino Bertolotto
Q16230010,Agostino Camigliano
Q1118410,Agostino De Nardi
Q395648,Agostino Di Bartolomei
Q14539979,Agostino Gamba
Q3606767,Agostino Garofalo
Q3606774,Agostino Iacobelli
Q15059091,Agostino Marzoli
Q16937202,Agostino Scaglioni
Q4697124,Aiman Napoli
Q405636,Aimo Diana
Q3607129,Aimone Lo Prete
Q3607631,Aladino Valoti
Q1541019,Alan Carlet
Q3329570,Alan Ruiz
Q2534570,Alassane També
Q1537220,Albano Canazza
Q3607877,Albano Luisetto
Q3607880,Albano Vicariotto
Q458474,Alberigo Evani
Q869820,Alberto Albertini
Q16163600,Alberto Albertoni
Q2881942,Alberto Aldo Valentini
Q4711922,Alberto Almici
Q20895984,Alberto Andrea Paleari
Q191151,Alberto Aquilani
Q986212,Alberto Arbitrio
Q4711931,Alberto Artuso
Q986718,Alberto Astraceli
Q1045097,Alberto Barberis
Q1045304,Alberto Barbieri
Q4748242,Alberto Barni
Q1318123,Alberto Baruzzi
Q1318601,Alberto Batistoni
Q3608141,Alberto Bazzarini
Q16268177,Alberto Benassi
Q1404644,Alberto Benini
Q1407237,Alberto Bergossi
Q1407433,Alberto Bernardi
Q67988,Alberto Bertuccelli
Q672698,Alberto Bigon
Q1447817,Alberto Bollini
Q1448750,Alberto Bonaretti
Q4748886,Alberto Boni
Q16524784,Alberto Bracci
Q1485315,Alberto Briaschi
Q16524787,Alberto Brignoli
Q3608170,Alberto Bruciamonti
Q1533075,Alberto Cambiaghi
Q1540727,Alberto Carelli
Q1062458,Alberto Cavasin
Q1612776,Alberto Ceresoli
Q10557299,Alberto Cerri
Q1615670,Alberto Citterio
Q1615731,Alberto Clementoni
Q1871054,Alberto Colombo
Q1602698,Alberto Comazzi
Q962728,Alberto Coramini
Q3608252,Alberto Cossentino
Q3608248,Alberto Crivellenti
Q3608250,Alberto Cuttin
Q3608262,Alberto Delamare
Q3608267,Alberto Delfrati
Q1098369,Alberto Di Chiara
Q3608271,Alberto Duvina
Q3608278,Alberto Eliani
Q21055304,Alberto Filippini
Q3608298,Alberto Fommei
Q2252579,Alberto Fontana
Q728560,Alberto Fontanesi
Q3608308,Alberto Frigeri
Q2061855,Alberto Frison
Q1111934,Alberto Fumagalli
Q3608311,Alberto Galassi
Q4712038,Alberto Gallinetta
Q4712040,Alberto Gallo
Q4712039,Alberto Galuppo
Q16524833,Alberto Gamba
Q3608318,Alberto Gatto
Q4712045,Alberto Gerbo
Q3608324,Alberto Giacomin
Q182451,Alberto Gilardino
Q3608336,Alberto Ginulfi
Q3608355,Alberto Giuliatto
Q18637410,Alberto Grassi
Q3608352,Alberto Grossetti
Q3608378,Alberto Latini
Q4712088,Alberto Libertazzi
Q3608391,Alberto Macchi
