Name,Surname,Nationality,Commons Personal category,Wikidata ID,URL
Nimir,Abdel-Aziz,NED,Category:Nimir Abdel-Aziz,Q4121429,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ABD-NIM-92
Alessandro,Acquarone,ITA,Category:Alessandro Acquarone,Q47000931,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ACQ-ALE-99
Filippo,Agostini,ITA,Category:Filippo Agostini,Q47000979,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGO-FIL-94
Daniele,Albergati,ITA,Category:Daniele Albergati,Q47000998,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-DAN-93
Alessio,Alberini,ITA,Category:Alessio Alberini,Q47000992,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-ALE-98
Caio,Alexandre De Oliveira,BRA,Category:Caio Alexandre De Oliveira,Q47001003,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALE-CAI-96
Aimone,Alletti,ITA,Category:Aimone Alletti,Q16268122,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALL-AIM-88
Flavio,Amouah,ITA,Category:Flavio Amouah,Q47001015,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AMO-FLA-97
Andrea,Andreini,ITA,Category:Andrea Andreini,Q47001020,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AND-AND-97
Leo,Andric,CRO,Category:Leo Andrić,Q27149325,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AND-LEO-94
Antonio,Anselmo,ITA,Category:Antonio Anselmo,Q47001054,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANS-ANT-90
Oleg,Antonov,ITA,Category:Oleg Antonov (volleyball player),Q3881562,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANT-OLE-88
Simone,Anzani,ITA,Category:Simone Anzani,Q16167460,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ANZ-SIM-92
Roberto,Arena,ITA,Category:Roberto Arena,Q47001081,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ARE-ROB-82
Franco,Arezzo Di Trifiletti,ITA,Category:Franco Arezzo Di Trifiletti,Q47001073,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ARE-FRA-93
Andrea,Argenta,ITA,Category:Andrea Argenta,Q47001087,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ARG-AND-96
Alessandro,Arienti,ITA,Category:Alessandro Arienti,Q47001090,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ARI-ALE-93
Francesco,Astarita,ITA,Category:Francesco Astarita,Q47001095,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AST-FRA-93
Aleksandar,Atanasijevic,SRB,Category:Aleksandar Atanasijević,Q172184,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ATA-ALE-91
Taylor,Averill,USA,Category:Taylor Averill,Q21651732,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AVE-TAY-92
Leonardo,Baciocco,ITA,Category:Leonardo Baciocco,Q47001106,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BAC-LEO-00
