id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,URLFoto
ABB-SIM-92,Abbio,Simone,180,16/12/1992,ITA,Mondov́,ITA,Vbc Mondov́,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ABB-SIM-92
ABD-NIM-92,Abdel-Aziz,Nimir,201,05/02/1992,NED,S.Gravenhage,NED,Revivre Milano,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ABD-NIM-92
ACQ-ALE-99,Acquarone,Alessandro,182,20/09/1999,ITA,San Remo,ITA,Kemas Lamipel Santa Croce,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ACQ-ALE-99
AGA-AND-93,Aganits,Andri,207,07/09/1993,EST,Tallin,EST,Altotevere Città di Castello - Sansepolcro,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGA-AND-93
AGN-AND-83,Agnellini,Andrea,197,23/03/1983,ITA,Manerbio,ITA,Centrale del Latte McDonald's Brescia,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGN-AND-83
AGO-FIL-94,Agostini,Filippo,191,04/09/1994,ITA,Foligno,ITA,Monini Spoleto,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGO-FIL-94
AGR-MAR-99,Agrusti,Marinfranco,191,26/01/1999,ITA,Castellana Grotte,ITA,BCC-NEP Castellana Grotte,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGR-MAR-99
AGU-ANT-89,Aguillard,Antwain Delawarence,200,22/08/1989,USA,Las Vegas,USA,Tonazzo Padova,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGU-ANT-89
AIN-GRA-86,Ainsworth,Graydon,204,20/06/1986,CAN,Unionville,ITA,Carige Genova,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AIN-GRA-86
ALB-ALE-98,Alberini,Alessio,185,03/03/1998,ITA,Portogruaro,ITA,Aurispa Alessano,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-ALE-98
ALB-DAN-93,Albergati,Daniele,200,21/06/1993,ITA,Bergamo,ITA,Caloni Agnelli Bergamo,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-DAN-93
ALB-PAO-87,Alborghetti,Paolo,195,23/04/1987,ITA,Bergamo,ITA,Pool Libertas Cantù,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-PAO-87
ALE-CAI-96,Alexandre De Oliveira,Caio,199,23/01/1996,BRA,NULL,BRA,Pool Libertas Cantù,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALE-CAI-96
ALE-TOD-83,Aleksiev,Todor,200,21/04/1983,BUL,Plovdiv,BUL,Acqua Paradiso Monza Brianza,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALE-TOD-83
ALI-DEN-95,Alikaj,Denis,200,09/06/1995,ITA,Castel San Giovanni,ITA,B-Chem Potenza Picena,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALI-DEN-95
ALL-AIM-88,Alletti,Aimone,207,28/06/1988,ITA,Codogno,ITA,Wixo LPR Piacenza,2017,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALL-AIM-88
ALL-PIE-95,Allesch,Piero,185,10/09/1995,ITA,Trieste,ITA,Conad Reggio Emilia,2014,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALL-PIE-95
ALN-YAS-83,Al Nabhan,Yasim Youssif,199,19/01/1983,BRN,NULL,BRN,Pallavolo Molfetta,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALN-YAS-83
ALO-CAR-92,Alomia Angulo,Carlos,202,17/06/1992,COL,NULL,COL,Pallavolo Molfetta,2011,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALO-CAR-92
ALV-THI-86,Alves Soares,Thiago,194,26/07/1986,BRA,Porto Alegre,BRA,Tonno Callipo Calabria Vibo Valentia,2016,http://ww2.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALV-THI-86
