id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,urlFoto
ABB-SIM-92,Abbio,Simone,180,1992-12-16,ITA,Mondovì,ITA,Vbc Mondovì,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ABB-SIM-92
ABD-NIM-92,Abdel-Aziz,Nimir,202,1992-02-05,NED,S.Gravenhage,NED,Revivre Axopower Milano,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ABD-NIM-92
ACQ-ALE-99,Acquarone,Alessandro,184,1999-09-20,ITA,San Remo,ITA,Kemas Lamipel Santa Croce,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ACQ-ALE-99
ADA-PAW-90,Adamajtis,Pawel,195,1990-08-30,POL,Jaworzno,POL,Olimpia Bergamo,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ADA-PAW-90
AGA-AND-93,Aganits,Andri,207,1993-09-07,EST,Tallin,EST,Altotevere Città di Castello - Sansepolcro,2014,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGA-AND-93
AGN-AND-83,Agnellini,Andrea,197,1983-03-23,ITA,Manerbio,ITA,Centrale del Latte McDonald's Brescia,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGN-AND-83
AGO-FIL-94,Agostini,Filippo,191,1994-09-04,ITA,Foligno,ITA,Monini Spoleto,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGO-FIL-94
AGR-MAR-99,Agrusti,Marinfranco,200,1999-01-26,ITA,Castellana Grotte,ITA,BCC Castellana Grotte,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGR-MAR-99
AGU-ANT-89,Aguillard,Antwain Delawarence,200,1989-08-22,USA,Las Vegas,USA,Tonazzo Padova,2014,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGU-ANT-89
AGU-JON-92,Aguenier,Jonas Bastien Baptiste,202,1992-04-28,FRA,Orleans,FRA,Monini Spoleto,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AGU-JON-92
AIN-GRA-86,Ainsworth,Graydon,204,1986-06-20,CAN,Unionville,ITA,Carige Genova,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AIN-GRA-86
ALB-ALE-98,Alberini,Alessio,185,1998-03-03,ITA,Portogruaro,ITA,Pool Libertas Cantù,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-ALE-98
ALB-DAN-93,Albergati,Daniele,200,1993-06-21,ITA,Bergamo,ITA,Caloni Agnelli Bergamo,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-DAN-93
ALB-PAO-87,Alborghetti,Paolo,196,1987-04-23,ITA,Bergamo,ITA,Banca Alpi Marittime Acqua S. Bernardo Cuneo,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALB-PAO-87
ALE-CAI-96,Alexandre De Oliveira,Caio,199,1996-01-23,BRA,NULL,BRA,Banca Alpi Marittime Acqua S. Bernardo Cuneo,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALE-CAI-96
ALE-TOD-83,Aleksiev,Todor,200,1983-04-21,BUL,Plovdiv,BUL,Acqua Paradiso Monza Brianza,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALE-TOD-83
ALF-MAN-98,Alfieri,Manuel,189,1998-05-20,ITA,Pescara,ITA,Conad Lamezia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALF-MAN-98
ALI-DEN-95,Alikaj,Denis,200,1995-06-09,ITA,Castel San Giovanni,ITA,B-Chem Potenza Picena,2014,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALI-DEN-95
ALL-AIM-88,Alletti,Aimone,207,1988-06-28,ITA,Codogno,ITA,Calzedonia Verona,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALL-AIM-88
ALL-PIE-95,Allesch,Piero,185,1995-09-10,ITA,Trieste,ITA,Conad Reggio Emilia,2014,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALL-PIE-95
ALN-YAS-83,Al Nabhan,Yasim Youssif,199,1983-01-19,BRN,NULL,BRN,Pallavolo Molfetta,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALN-YAS-83
ALO-CAR-92,Alomia Angulo,Carlos,202,1992-06-17,COL,NULL,COL,Pallavolo Molfetta,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALO-CAR-92
ALV-THI-86,Alves Soares,Thiago,194,1986-07-26,BRA,Porto Alegre,BRA,Tonno Callipo Calabria Vibo Valentia,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=ALV-THI-86
AMM-RYA-85,Ammerman,Ryan,204,1985-12-30,USA,Anchorage - Alaska,USA,Copra Elior Piacenza,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AMM-RYA-85
AMO-FLA-97,Amouah,Flavio,192,1997-01-17,ITA,Cuneo,ITA,Banca Alpi Marittime Acqua S. Bernardo Cuneo,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AMO-FLA-97
AMO-NIC-85,Amorico,Nicola,199,1985-07-08,ITA,Foggia,ITA,Conad Reggio Emilia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=AMO-NIC-85
