FILE_WLINK,FILE_THUMB,TITLE,DESCRIPTION,LICENSE,DATE,AUTHOR,CREATOR_COMMONS_LINK,SIZE_TEMPLATE,MEDIUM,DOI_ID,SOURCE
"[[:File:Stemma papale del XIV secolo rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg]]","[[File:Stemma papale del XIV secolo rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg|100px]]","{{it|Roma. Stemma del XIV secolo. Chiostro di S. Giovanni in Laterano}}","{{it|Stemma papale del XIV secolo rilevato nel Chiostro della Basilica di San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 26 |height = 20}}","Materiale fotografico. Procedimento all'albumina",283,https://iconoteca.arc.usi.ch/it/inventario/283
"[[:File:Stemma di papa Clemente VI rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg]]","[[File:Stemma di papa Clemente VI rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg|100px]]","{{it|Roma. Stemma del XIV secolo. Chiostro di S. Giovanni in Laterano}}","{{it|Stemma di papa Clemente VI rilevato nel Chiostro della Basilica di San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 26 |height = 20}}","Materiale fotografico. Procedimento all'albumina",284,https://iconoteca.arc.usi.ch/it/inventario/284
"[[:File:Stemma reale del XIV secolo rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg]]","[[File:Stemma reale del XIV secolo rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg|100px]]","{{it|Roma. Stemma del XIV secolo. Chiostro di S. Giovanni in Laterano}}","{{it|Stemma reale del XIV secolo rilevato nel Chiostro della Basilica di San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 26 |height = 20}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",285,https://iconoteca.arc.usi.ch/it/inventario/285
"[[:File:Stemma di papa Niccolò V rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg]]","[[File:Stemma di papa Niccolò V rilevato nel Chiostro della Basilica di San Giovanni in Laterano.jpg|100px]]","{{it|Roma. Stemma di Nicola V?. Chiostro di S. Giovanni in Laterano}}","{{it|Stemma di papa Niccolò V rilevato nel Chiostro della Basilica di San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 26 |height = 20}}","Materiale fotografico. Procedimento all'albumina",286,https://iconoteca.arc.usi.ch/it/inventario/286
"[[:File:Monumento funerario del cardinale Pietro Fonseca presso le Grotte vaticane.jpg]]","[[File:Monumento funerario del cardinale Pietro Fonseca presso le Grotte vaticane.jpg|100px]]","{{it|Roma. Card. Pietro Fonsecca. Grotte Vatic.}}","{{it|Monumento funerario del cardinale Pietro Fonseca presso le Grotte vaticane}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 20 |height = 26}}","Materiale fotografico. Procedimento all'albumina",287,https://iconoteca.arc.usi.ch/it/inventario/287
"[[:File:Monumento al Gran maestro Riccardo Caracciolo presso la Chiesa di Santa Maria del Priorato.jpg]]","[[File:Monumento al Gran maestro Riccardo Caracciolo presso la Chiesa di Santa Maria del Priorato.jpg|100px]]","{{it|Monumento al Gran maestro Riccardo Caracciolo priorato di Malta}}","{{it|Monumento al Gran maestro Riccardo Caracciolo presso la Chiesa di Santa Maria del Priorato}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890-1925,"Moscioni, Romualdo",,,"Materiale fotografico. Procedimento alla gelatina ai sali d'argento",288,https://iconoteca.arc.usi.ch/it/inventario/288
"[[:File:Monumento funebre del cardinale Guillaume De Bray presso la Chiesa di San Domenico.jpg]]","[[File:Monumento funebre del cardinale Guillaume De Bray presso la Chiesa di San Domenico.jpg|100px]]","{{it|Monumento di Arnaldo di Lapo}}","{{it|Monumento funebre del cardinale Guillaume De Bray presso la Chiesa di San Domenico}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1868-1920,"Moscioni, Romualdo",,"{{Size|unit = cm |width = 20 |height = 25}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",289,https://iconoteca.arc.usi.ch/it/inventario/289
"[[:File:Monumento funebre del cardinale Antonio Martinez de Chavez di Portogallo presso San Giovanni in Laterano.jpg]]","[[File:Monumento funebre del cardinale Antonio Martinez de Chavez di Portogallo presso San Giovanni in Laterano.jpg|100px]]",,"{{it|Monumento funebre del cardinale Antonio Martinez de Chavez di Portogallo presso San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 20 |height = 26}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",290,https://iconoteca.arc.usi.ch/it/inventario/290
"[[:File:La Prudenza, statua facente parte del monumento funebre al cardinale Giulio Acquaviva presso San Giovanni in Laterano.jpg]]","[[File:La Prudenza, statua facente parte del monumento funebre al cardinale Giulio Acquaviva presso San Giovanni in Laterano.jpg|100px]]","{{it|Basilica di S. Giovanni in Laterano. Monumento al Card. Giulio Acquaviva. La Prudenza}}","{{it|La Prudenza, statua facente parte del monumento funebre al cardinale Giulio Acquaviva presso San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1920-1930,"Fratelli Alinari",,"{{Size|unit = cm |width = 26 |height = 19}}","Materiale fotografico. Procedimento all'albumina",291,https://iconoteca.arc.usi.ch/it/inventario/291
"[[:File:La Temperanza, statua facente parte del monumento funebre al cardinale Giulio Acquaviva presso San Giovanni in Laterano.jpg]]","[[File:La Temperanza, statua facente parte del monumento funebre al cardinale Giulio Acquaviva presso San Giovanni in Laterano.jpg|100px]]","{{it|Basilica di S. Giovanni in Laterano. Monumento al Card. Giulio Acquaviva. La Temperanza}}","{{it|La Temperanza, statua facente parte del monumento funebre al cardinale Giulio Acquaviva presso San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1920-1930,"Fratelli Alinari",,"{{Size|unit = cm |width = 26 |height = 19}}","Materiale fotografico. Procedimento all'albumina",292,https://iconoteca.arc.usi.ch/it/inventario/292
"[[:File:Dettaglio del monumento funebre al cardinale Martinez de Chavescon presso San Giovanni Laterano.jpg]]","[[File:Dettaglio del monumento funebre al cardinale Martinez de Chavescon presso San Giovanni Laterano.jpg|100px]]",,"{{it|Dettaglio del monumento funebre al cardinale Martinez de Chavescon presso San Giovanni Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 21 |height = 27}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",293,https://iconoteca.arc.usi.ch/it/inventario/293
"[[:File:Statua di soldato. Dettaglio del monumento funebre del cardinale Antonio Martinez de Chavez di Portogallo presso San Giovanni in Laterano.jpg]]","[[File:Statua di soldato. Dettaglio del monumento funebre del cardinale Antonio Martinez de Chavez di Portogallo presso San Giovanni in Laterano.jpg|100px]]","{{it|Dettaglio del Monumento al cardinaleMartinez de Chiaves}}","{{it|Statua di soldato. Dettaglio del monumento funebre del cardinale Antonio Martinez de Chavez di Portogallo presso San Giovanni in Laterano}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 26 |height = 20}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",294,https://iconoteca.arc.usi.ch/it/inventario/294
"[[:File:Dettaglio del monumento funebre di papa Eugenio IV presso San Salvatore in Lauro.jpg]]","[[File:Dettaglio del monumento funebre di papa Eugenio IV presso San Salvatore in Lauro.jpg|100px]]",,"{{it|Dettaglio del monumento funebre di papa Eugenio IV presso San Salvatore in Lauro}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,,,,"{{Size|unit = cm |width = 17 |height = 23}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",296,https://iconoteca.arc.usi.ch/it/inventario/296
"[[:File:Monumento funebre di papa Eugenio IV presso San Salvatore in Lauro.jpg]]","[[File:Monumento funebre di papa Eugenio IV presso San Salvatore in Lauro.jpg|100px]]",,"{{it|Monumento funebre di papa Eugenio IV presso San Salvatore in Lauro}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,,"Moscioni, Romualdo",,"{{Size|unit = cm |width = 26 |height = 20}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",297,https://iconoteca.arc.usi.ch/it/inventario/297
"[[:File:Monumento funebre di papa Eugenio IV presso San Salvatore in Lauro (DOI 298).jpg]]","[[File:Monumento funebre di papa Eugenio IV presso San Salvatore in Lauro (DOI 298).jpg|100px]]","{{it|Chiesa di S. Salvatore in Lauro, antico refettorio. Mausoleo di Eugenio IV}}","{{it|Monumento funebre di papa Eugenio IV presso San Salvatore in Lauro}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,,,,"{{Size|unit = cm |width = 23 |height = 17}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",298,https://iconoteca.arc.usi.ch/it/inventario/298
"[[:File:Monumento funebre dei cardinali Latino Malabranca Orsini e Matteo Orsini.jpg]]","[[File:Monumento funebre dei cardinali Latino Malabranca Orsini e Matteo Orsini.jpg|100px]]",,"{{it|Monumento funebre dei cardinali Latino Malabranca Orsini e Matteo Orsini}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,,,,"{{Size|unit = cm |width = 20 |height = 26}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",299,https://iconoteca.arc.usi.ch/it/inventario/299
"[[:File:Monumento funebre del cardinale Pietro Manzi.jpg]]","[[File:Monumento funebre del cardinale Pietro Manzi.jpg|100px]]",,"{{it|Monumento funebre del cardinale Pietro Manzi}}",https://creativecommons.org/licenses/by-sa/4.0/deed.it,1890,"Anderson, Domenico","[[Creator:Domenico Anderson]]","{{Size|unit = cm |width = 26 |height = 20}}","Materiale fotografico. Procedimento alla gelatina ai sali d'argento",300,https://iconoteca.arc.usi.ch/it/inventario/300
