Filename,"Personal category"
"File:Alain Addys Roca Borrero (Legavolley 2011).jpg","Category:Alain Addys Roca Borrero"
"File:Alberto Bigarelli (Legavolley 2011).jpg","Category:Alberto Bigarelli"
"File:Alberto Caprotti (Legavolley 2011).jpg","Category:Alberto Caprotti"
"File:Alessandro Bartoli (Legavolley 2011).jpg","Category:Alessandro Bartoli"
"File:Alessandro Dordei (Legavolley 2011).jpg","Category:Alessandro Dordei"
"File:Alessandro La Forgia (Legavolley 2011).jpg","Category:Alessandro La Forgia"
"File:Alessandro Vinella (Legavolley 2011).jpg","Category:Alessandro Vinella"
"File:Alessio Coppola (Legavolley 2011).jpg","Category:Alessio Coppola"
"File:Alexander Moreno Quejada (Legavolley 2011).jpg","Category:Alexander Moreno Quejada"
"File:Andrea Bartoletti (Legavolley 2011).jpg","Category:Andrea Bartoletti"
"File:Andrea D'Avanzo (Legavolley 2011).jpg","Category:Andrea D'Avanzo"
"File:Andrea Dall'Olio (Legavolley 2011).jpg","Category:Andrea Dall'Olio"
"File:Andrea Gelasio (Legavolley 2011).jpg","Category:Andrea Gelasio"
"File:Andrey Georgiev Zhekov (Legavolley 2011).jpg","Category:Andrey Zhekov"
"File:Antonio Caputo (Legavolley 2011).jpg","Category:Antonio Caputo"
"File:Antonio Libraro (Legavolley 2011).jpg","Category:Antonio Libraro"
"File:Antti Poikela (Legavolley 2011).jpg","Category:Antti Poikela"
"File:Aurelio Cardoso De Figueiredo (Legavolley 2011).jpg","Category:Aurelio Cardoso De Figueiredo"
"File:Aurelio Inserra (Legavolley 2011).jpg","Category:Aurelio Inserra"
"File:Bertrand Carletti (Legavolley 2011).jpg","Category:Bertrand Carletti"
"File:Boyan Yordanov (Legavolley 2011).jpg","Category:Boyan Yordanov"
"File:Carlos Alomia Angulo (Legavolley 2011).jpg","Category:Carlos Alomia Angulo"
"File:Cosimo Gallotta (Legavolley 2011).jpg","Category:Cosimo Gallotta"
"File:Cristian Vigilante (Legavolley 2011).jpg","Category:Cristian Vigilante"
"File:Daivison Ferreira Da Silva (Legavolley 2011).jpg","Category:Daivison Ferreira Da Silva"
"File:Daniele Illuzzi (Legavolley 2011).jpg","Category:Daniele Illuzzi"
"File:Danijel Galic (Legavolley 2011).jpg","Category:Danijel Galic"
"File:Danilo Finazzi (Legavolley 2011).jpg","Category:Danilo Finazzi"
"File:Davide Sala (Legavolley 2011).jpg","Category:Davide Sala"
"File:Diego Frigo (Legavolley 2011).jpg","Category:Diego Frigo"
"File:Domotor Meszaros (Legavolley 2011).jpg","Category:Domotor Meszaros"
"File:Eerik Jago (Legavolley 2011).jpg","Category:Eerik Jago"
"File:Enzo Di Manno (Legavolley 2011).jpg","Category:Enzo Di Manno"
"File:Eugen Bakumovski (Legavolley 2011).jpg","Category:Eugen Bakumovski"
"File:Evan Hoburg Patak (Legavolley 2011).jpg","Category:Evan Patak"
"File:Facundo Conte (Legavolley 2011).jpg","Category:Facundo Conte"
"File:Federico Donati (Legavolley 2011).jpg","Category:Federico Donati"
"File:Filippo Pagni (Legavolley 2011).jpg","Category:Filippo Pagni"
"File:Francesco Dutto (Legavolley 2011).jpg","Category:Francesco Dutto"
"File:Giacomo Pambianchi (Legavolley 2011).jpg","Category:Giacomo Pambianchi"
"File:Giacomo Viva (Legavolley 2011).jpg","Category:Giacomo Viva"
"File:Gianluca Durante (Legavolley 2011).jpg","Category:Gianluca Durante"
"File:Giovanni Di Benedetto (Legavolley 2011).jpg","Category:Giovanni Di Benedetto"
"File:Graydon Ainsworth (Legavolley 2011).jpg","Category:Graydon Ainsworth"
"File:Guillermo Falasca (Legavolley 2011).jpg","Category:Guillermo Falasca"
"File:Gérald Hardy-Dessources (Legavolley 2011).jpg","Category:Gérald Hardy-Dessources"
"File:Igor Omrcen (Legavolley 2011).jpg","Category:Igor Omrčen"
"File:Israel Rodriguez (Legavolley 2011).jpg","Category:Israel Rodriguez"
"File:Ivan Cuomo (Legavolley 2011).jpg","Category:Ivan Cuomo"
"File:Jari Tuominen (Legavolley 2011).jpg","Category:Jari Tuominen"
"File:Jean-Francois Exiga (Legavolley 2011).jpg",
"File:Jeronimo Bidegain (Legavolley 2011).jpg","Category:Jeronimo Bidegain"
"File:Jiri Kral (Legavolley 2011).jpg",
"File:Joel Bacci (Legavolley 2011).jpg","Category:Joel Bacci"
"File:Jonathan Zaccaria (Legavolley 2011).jpg","Category:Jonathan Zaccaria"
"File:Jose Manuel Rivera Caamano (Legavolley 2011).jpg","Category:Jose Manuel Rivera Caamano"
"File:Jukka Lehtonen (Legavolley 2011).jpg","Category:Jukka Lehtonen"
"File:Kardo Koresaar (Legavolley 2011).jpg","Category:Kardo Koresaar"
"File:Linus Tholse (Legavolley 2011).jpg","Category:Linus Tholse"
